185,8:21
124,8:22
81,8:23
42,8:24
25,8:25
22,8:26
7,8:27
4,8:28
4,8:29
2,8:31
214,9:1
1158,9:2
3070,9:3
6069,9:4
9569,9:5
12916,9:6
14801,9:7
15920,9:8
15264,9:9
14005,9:10
11990,9:11
9563,9:12
7596,9:13
5513,9:14
3892,9:15
2744,9:16
1836,9:17
1247,9:18
815,9:19
540,9:20
351,9:21
215,9:22
120,9:23
74,9:24
41,9:25
38,9:26
28,9:27
10,9:28
5,9:29
4,9:30
3,9:31
1,9:33
3,9:34
1,9:35
176,10:1
881,10:2
2438,10:3
5220,10:4
8691,10:5
12261,10:6
14699,10:7
16400,10:8
16654,10:9
15430,10:10
13916,10:11
11512,10:12
9467,10:13
7120,10:14
5406,10:15
3885,10:16
2766,10:17
1918,10:18
1306,10:19
859,10:20
533,10:21
391,10:22
270,10:23
160,10:24
96,10:25
72,10:26
47,10:27
28,10:28
16,10:29
4,10:30
10,10:31
3,10:32
2,10:34
1,10:35
132,11:1
586,11:2
1993,11:3
4119,11:4
7479,11:5
10735,11:6
13755,11:7
15682,11:8
16603,11:9
16315,11:10
14912,11:11
13032,11:12
10901,11:13
8732,11:14
6748,11:15
5051,11:16
3706,11:17
2616,11:18
1936,11:19
1304,11:20
900,11:21
604,11:22
377,11:23
270,11:24
198,11:25
122,11:26
80,11:27
49,11:28
28,11:29
21,11:30
7,11:31
6,11:32
5,11:33
2,11:35
83,12:1
421,12:2
1432,12:3
3364,12:4
6046,12:5
9054,12:6
12060,12:7
14462,12:8
16062,12:9
16408,12:10
15353,12:11
13788,12:12
11965,12:13
10063,12:14
7935,12:15
6276,12:16
4779,12:17
3527,12:18
2577,12:19
1930,12:20
1341,12:21
911,12:22
642,12:23
447,12:24
294,12:25
190,12:26
145,12:27
87,12:28
65,12:29
27,12:30
15,12:31
20,12:32
10,12:33
5,12:34
1,12:35
1,12:36
1,12:37
1,12:44
52,13:1
290,13:2
973,13:3
2416,13:4
4548,13:5
7226,13:6
10232,13:7
12602,13:8
14868,13:9
15142,13:10
15060,13:11
14510,13:12
12910,13:13
11052,13:14
9235,13:15
7391,13:16
5799,13:17
4523,13:18
3460,13:19
2705,13:20
1884,13:21
1371,13:22
927,13:23
696,13:24
492,13:25
310,13:26
224,13:27
162,13:28
87,13:29
49,13:30
38,13:31
24,13:32
19,13:33
11,13:34
9,13:35
8,13:36
1,13:37
1,13:38
2,13:39
1,13:40
1,13:44
36,14:1
184,14:2
703,14:3
1722,14:4
3383,14:5
5575,14:6
8421,14:7
10623,14:8
12628,14:9
13965,14:10
14441,14:11
14110,14:12
13040,14:13
11657,14:14
10014,14:15
8638,14:16
7012,14:17
5515,14:18
4282,14:19
3268,14:20
2452,14:21
1975,14:22
1367,14:23
996,14:24
676,14:25
451,14:26
354,14:27
242,14:28
170,14:29
104,14:30
73,14:31
47,14:32
24,14:33
19,14:34
13,14:35
11,14:36
3,14:37
6,14:38
2,14:39
2,14:40
2,14:41
1,14:44
21,15:1
105,15:2
459,15:3
1149,15:4
2545,15:5
4161,15:6
6481,15:7
8785,15:8
10766,15:9
12083,15:10
13096,15:11
13322,15:12
12857,15:13
12038,15:14
10761,15:15
